step,time,true_x,noe_x,rmse,comm_norm,entropy,coherence,rank
82,0.41500000000000004,15.35759588696709,1.2123837179117203,16.25628938909495,2.803906485655924,1.061378019985138,0.999030039918487,3
83,0.42,14.847539336440745,1.1970952375780186,15.631614707497908,2.8181581628190586,1.061072465301836,0.9990013852799409,3
84,0.425,14.301860511514173,1.1827261744718598,15.55700015019331,2.8317698098024238,1.0607817480529627,0.9989771618577564,3
85,0.43,13.725735427285732,1.1691738119354085,15.60654253898341,2.844733152516203,1.0605060909180573,0.99895751421075,3
86,0.435,13.124408280814377,1.1563367481219444,15.595118562538486,2.8570436019258443,1.0602457001793972,0.998942584794275,3
87,0.44,12.50308183109608,1.1441153568684896,15.527557541577494,2.8687001711742925,1.0600007660715287,0.9989325139605588,3
88,0.445,11.866820533660452,1.13241221829486,15.409142301713933,2.87970536715284,1.0597714632165995,0.998927439950264,3
89,0.45,11.220468546978415,1.1211325161158072,15.245415476490562,2.890065059920769,1.059557951140581,0.9989274988775012,3
90,0.455,10.56858364743255,1.1101843992643126,15.042005652923585,2.8997883335580736,1.0593603748650295,0.9989328247107557,3
91,0.46,9.915387135493477,1.0994793060326415,14.804478151948507,2.908887322113877,1.0591788655687004,0.9989435492523788,3
92,0.465,9.264729036442718,1.0889322495321778,14.538212809311352,2.9173770342914493,1.0590135413131136,0.9989598021194658,3
93,0.47000000000000003,8.620067315933408,1.0784620638408313,14.24830906148224,2.925275170394802,1.0588645078259908,0.9989817107290899,3
94,0.47500000000000003,7.98445944271836,1.0679916107397105,13.93951703577018,2.932601934864085,1.0587318593364619,0.99900940029098,3
95,0.48,7.360564420218225,1.0574479474304113,13.616192213262499,2.9393798474582176,1.0586156794559403,0.9990429938108387,3
96,0.485,6.750653347137935,1.0467624560655011,13.282270544647995,2.9456335558177664,1.0585160420986903,0.9990826121075879,3
97,0.49,6.156626622259133,1.0358709363130032,12.94126058686175,2.9513896517734732,1.0584330124362697,0.9991283738479019,3
98,0.495,5.580036046790243,1.024713662508745,12.596249211880371,2.956676493369537,1.058366647880299,0.9991803956014811,3
99,0.5,5.022110269047611,1.0132354072283647,12.249917635034384,2.961524034160945,1.0583169990883032,0.9992387919205797,3
100,0.505,4.4837822352376975,1.0013854333323593,11.904564843196342,2.965963660933485,1.0582841109877386,0.9993036754474045,3
101,0.51,3.965717536591511,0.989117456707433,11.562135909743473,2.9700280405951283,1.058268023813737,0.9993751570531008,3
102,0.515,3.4683427623340704,0.9763895820457833,11.224253114091752,2.9737509766100265,1.0582687741565606,0.9994533460121742,3
103,0.52,2.991873170076295,0.9631642140763219,10.89224820359022,2.9771672749993012,1.0582863960152649,0.9995383502163612,3
104,0.525,2.5363391643818365,0.9494079466919771,10.567194521663524,2.980312619623775,1.0583209218546132,0.999630276432171,3
105,0.53,2.1016112278584176,0.9350914324094717,10.249938065309607,2.9832234561985462,1.0583723836628671,0.9997292306065813,3
106,0.535,1.6874230768603518,0.9201892345579239,9.941126821992748,2.9859368842715095,1.058440814008687,0.9998353182256958,3
107,0.54,1.29339291706516,0.9046796645246857,9.641237970565081,2.9884905562295723,1.0585262470960484,0.9999486447315776,3
108,0.545,0.9190427550811073,0.8885446062965627,9.350602716509009,2.990922582278993,1.058581823230298,1.0,3
109,0.55,0.5638157836398422,0.8717693304257992,9.274731038429493,2.993271440278332,1.0586147516183255,1.0,3
110,0.555,0.22709190277824143,0.8543422994283816,9.215986742467846,2.995575889283422,1.0586597833709546,1.0,3
111,0.56,-0.0917985294056406,0.8362549664907704,9.154496383728828,2.9978748856902135,1.058716917452371,1.0,3
112,0.5650000000000001,-0.3935626026652546,0.8175015692239214,9.090674790199172,3.0002075009294393,1.0587861596908414,1.0,3
113,0.5700000000000001,-0.6789342919026935,0.7980789200642846,9.024899144033713,3.0026128397745455,1.0588675233416882,1.0,3
114,0.5750000000000001,-0.9486652956519479,0.7779861947820521,8.95751424528021,3.0051299584638564,1.0589610295991776,1.0,3
115,0.58,-1.2035171455462275,0.757224720420993,8.888836961933201,3.007797782006544,1.0590667080567049,1.0,3
116,0.585,-1.4442544600819178,0.7357977638627418,8.819159968016374,3.0106550202340134,1.0591845971149,1.0,3
117,0.59,-1.6716392219112608,0.7137103220840402,8.748754866417164,3.0137400823668536,1.0593147443375486,1.0,3
118,0.595,-1.8864259653488233,0.6909689150575531,8.677874785974824,3.017090990088962,1.0594572067554067,1.0,3
119,0.6,-2.089357769096366,0.6675813821390335,8.606756533867477,3.020745289347588,1.0596120511182046,1.0,3
120,0.605,-2.2811629578789048,0.6435566826837231,8.535622375388678,3.024739961325351,1.0597793540952563,1.0,3
121,0.61,-2.462552425380278,0.6189047015446363,8.464681504265988,3.029111333253575,1.0599592024252573,1.0,3
122,0.615,-2.6342174993165153,0.5936360600250694,8.394131258101588,3.0338949899479446,1.0601516930159285,1.0,3
123,0.62,-2.796828277521307,0.5677619327854373,8.324158125524738,3.0391256871446575,1.0603569329942646,1.0,3
124,0.625,-2.951032371435822,0.541293871142301,8.254938584363494,3.0448372678912405,1.0605750397082003,1.0,3
125,0.63,-3.0974540003391406,0.5142436331426197,8.18663980362271,3.051062583398103,1.0608061406805491,1.0,3
126,0.635,-3.236693386004822,0.4866230207494908,8.119420236302666,3.0578334198806623,1.0610503735160868,1.0,3
127,0.64,-3.3693264032276904,0.45844372443598047,8.053430125084239,3.0651804330133965,1.0613078857626563,1.0,3
128,0.645,-3.4959044468536327,0.4297171754498379,7.988811938593641,3.0731330916759774,1.0615788347271637,1.0,3
129,0.65,-3.6169544805959393,0.40045440598373716,7.925700752285459,3.0817196326946354,1.0618633872472931,1.0,3
130,0.655,-3.7329792370724797,0.3706659174623965,7.8642245848826065,3.090967028269369,1.062161719419735,1.0,3
131,0.66,-3.8444575421900558,0.34036155713821614,7.804504698720326,3.1009009677300643,1.0624740162856643,1.0,3
132,0.665,-3.951844740277454,0.30955040317089555,7.746655870194484,3.111545855183045,1.0628004714741208,1.0,3
133,0.67,-4.055573199268071,0.27824065835271483,7.690786634752428,3.122924824496484,1.0631412868038779,1.0,3
134,0.675,-4.156052877795603,0.2464395526296812,7.636999509432209,3.1350597729316125,1.0634966718442773,1.0,3
135,0.68,-4.253671938328706,0.21415325455813417,7.5853911948012644,3.1479714145616677,1.0638668434354026,1.0,3
136,0.685,-4.348797392466482,0.1813867918282952,7.536052757227466,3.161679354434299,1.0642520251678447,1.0,3
137,0.6900000000000001,-4.44177576627672,0.1481439809771814,7.489069791690184,3.1762021842336954,1.0646524468221807,1.0,3
138,0.6950000000000001,-4.53293377511086,0.11442736640675832,7.4445225647773325,3.1915575999883368,1.0650683437681419,1.0,3
139,0.7000000000000001,-4.622578998698514,0.08023816881598833,7.402486137084362,3.2077625421558813,1.0654999563233076,1.0,3
140,0.705,-4.711000548532436,0.04557624314949038,7.363030463909719,3.224833358203031,1.0659475290709726,1.0,3
141,0.71,-4.7984697206219735,0.01044004616011307,7.326220472908548,3.242785987587865,1.0664113101366932,1.0,3
142,0.715,-4.885240627637099,-0.025173386321775126,7.292116117205329,3.261636168851562,1.0668915504228131,1.0,3
143,0.72,-4.97155080530198,-0.06126845232269318,7.2607724023642035,3.2813996683356885,1.0673885028000973,1.0,3
144,0.725,-5.05762178864095,-0.09785098677678405,7.232239385562203,3.302092529863716,1.0679024212553898,1.0,3
145,0.73,-5.143659654343533,-0.1349282546054127,7.206562145299199,3.323731344560869,1.068433559994034,1.0,3
146,0.735,-5.229855526110334,-0.17250893373665832,7.183780720001981,3.3463335398347662,1.0689821724955688,1.0,3
147,0.74,-5.316386040378741,-0.2106030879713785,7.1639300139374456,3.3699176863977223,1.0695485105210258,1.0,3
148,0.745,-5.403413770316012,-0.24922212959602774,7.14703966893802,3.39450382207872,1.0701328230699492,1.0,3
149,0.75,-5.4910876064163405,-0.28837877163297776,7.133133900562062,3.420113791042867,1.0707353552850611,1.0,3
150,0.755,-5.579543092456061,-0.32808696960628225,7.122231297464992,3.4467715969051778,1.0713563473023298,1.0,3
151,0.76,-5.668902715954944,-0.3683618526860428,7.114344582943528,3.474503768087543,1.0719960330440095,1.0,3
152,0.765,-5.759276152668656,-0.40921964405521294,7.1094803378421005,3.503339733615627,1.072654638952111,1.0,3
153,0.77,-5.850760465004685,-0.4506775703223411,7.10763868427824,3.533312207380908,1.0733323826596253,1.0,3
154,0.775,-5.943440254617721,-0.4927537597790419,7.108812929959593,3.5644575786945554,1.0740294715967718,1.0,3
155,0.78,-6.037387769806546,-0.535467129275446,7.112989173233182,3.5968163067271277,1.0747461015295263,1.0,3
156,0.785,-6.132662968708523,-0.5788372594588509,7.120145869432897,3.6304333161576965,1.0754242531073719,0.9998293764492602,3
157,0.79,-6.22931353967507,-0.6228842580923768,7.13025335958086,3.665358391038848,1.0754918890786338,0.9978149391053124,3
158,0.795,-6.32737488061659,-0.6676286111413177,7.1432733630554965,3.701646563521538,1.0755681466604847,0.9957754734482168,3
159,0.8,-6.426870039532578,-0.7130910212870702,7.1591584364713645,3.739358493667966,1.0756528405174297,0.9937108849361564,3
160,0.805,-6.527809618895581,-0.7592922335025776,7.177851401725323,3.778560836116486,1.0757457701593998,0.9916211042933598,3
161,0.81,-6.630191647039158,-0.8062528473001294,7.199284746955524,3.8193265888493095,1.075846720125061,0.9895060918748191,3
162,0.8150000000000001,-6.734001420212084,-0.8539931152444638,7.223380005035611,3.8617354187572572,1.0759554602665342,0.9873658423273766,3
163,0.8200000000000001,-6.839211319504688,-0.9025327273119927,7.250047115186825,3.9058739581050435,1.0760717461385285,0.9852003895424184,3
164,0.8250000000000001,-6.94578060742826,-0.9518905806721705,7.2791837743349035,3.951836065386932,1.0761953194943514,0.9830098118914891,3
165,0.8300000000000001,-7.053655209533289,-1.0020845344725373,7.310674785961521,3.9997230434406097,1.076325908890532,0.9807942377315152,3
166,0.835,-7.162767487083842,-1.05313114922415,7.3443914153961245,4.049643807077599,1.076463230401001,0.9785538511611828,3
167,0.84,-7.273036007458531,-1.1050454104134602,7.380190761751504,4.101714991912333,1.0766069884408338,0.9762888980042111,3
168,0.845,-7.38436531961649,-1.1578404360092023,7.417915158011206,4.156060995555978,1.0767568766985147,0.9739996919889005,3
169,0.85,-7.496645742640193,-1.2115271675924575,7.457391612111091,4.212813941910743,1.0769125791745573,0.971686621086488,3
170,0.855,-7.609753176034331,-1.2661140449151134,7.498431303193944,4.27211355898847,1.0770737713230727,0.9693501539634811,3
171,0.86,-7.723548941107094,-1.321606663788181,7.540829148529255,4.334106960507653,1.0772401212916047,0.9669908464955065,3
172,0.865,-7.837879663370346,-1.3780074173193384,7.58436345784083,4.3989483215266665,1.077411291253204,0.9646093482822611,3
173,0.87,-7.952577206448742,-1.4353151206586077,7.628795692934809,4.4667984385675865,1.0775869388233614,0.9622064090951946,3
174,0.875,-8.067458668462764,-1.4935246195754814,7.673870351520158,4.5378241650926014,1.0777667185530748,0.959782885181603,3
175,0.88,-8.18232645222239,-1.552626383379902,7.719314994911973,4.612197713822328,1.0779502834880021,0.9573397453412004,3
176,0.885,-8.296968420809806,-1.612606082915896,7.764840439845549,4.690095818229547,1.0781372867824282,0.9548780766840778,3
177,0.89,-8.411158150212914,-1.6734441546013201,7.810141134845593,4.771698746591401,1.0783273833556029,0.9523990899724952,3
178,0.895,-8.524655290566809,-1.7351153517612943,7.854895741425021,4.857189163211769,1.078520231577031,0.9499041244434954,3
179,0.9,-8.637206047238013,-1.7975882848085156,7.898767939766574,4.946750832797827,1.0787154949664033,0.9473946520050173,3
180,0.905,-8.7485437924172,-1.8608249521611242,7.94140747740465,5.040567165441252,1.0789128438932316,0.9448722806952983,3
181,0.91,-8.858389817042994,-1.9247802641598852,7.982451477714638,5.138819601162793,1.079111957260763,0.9423387572941577,3
182,0.915,-8.96645423173861,-1.9894015626512243,8.021526022682439,5.241685834467573,1.0793125241585386,0.9397959689754044,3
183,0.92,-9.07243702398519,-2.0546281393406716,8.058248021426287,5.349337880770725,1.0795142454679543,0.9372459438923106,3
184,0.925,-9.176029276968325,-2.120390756491645,8.092227372254198,5.461939987835141,1.0797168354054298,0.934690850593017,3
185,0.93,-9.276914553412512,-2.186611174044863,8.123069421655545,5.579646396477086,1.0799200229882688,0.9321329961700174,3
186,0.935,-9.374770445267506,-2.253201687757951,8.150377718565872,5.70259895571667,1.0801235534089977,0.9295748230575955,3
187,0.9400000000000001,-9.469270287346884,-2.320064683508221,8.17375705655263,5.830924598277116,1.0803271893048922,0.927018904403299,3
188,0.9450000000000001,-9.560085029971452,-2.3870922134533075,8.192816790322125,5.964732682895825,1.0805307119104925,0.924467937954332,3
189,0.9500000000000001,-9.646885262380883,-2.454165600292459,8.207174406250395,6.104112210346656,1.080733922082192,0.9219247384169891,3
190,0.9550000000000001,-9.729343375202323,-2.5211550764004116,8.216459319631385,6.249128920465549,1.0809366411853776,0.9193922282670527,3
191,0.96,-9.807135846675058,-2.5879194650974355,8.2203168641816,6.399822277913003,1.0811387118361264,0.9168734270112052,3
192,0.965,-9.879945633709031,-2.6543059117515853,8.218412432239809,6.55620235501281,1.0813399984910692,0.914371438923859,3
193,0.97,-9.947464645297462,-2.7201496727595185,8.210435717268965,6.7182466208973475,1.0815403878806902,0.9118894393102271,3
194,0.975,-10.009396272414552,-2.7852739706939396,8.196105003941652,6.885896647490594,1.0817397892830771,0.9094306593746784,3
195,0.98,-10.065457945419698,-2.849489924014456,8.175171445509084,7.059054744686489,1.0819381346368633,0.9069983698029971,3
196,0.985,-10.115383687273512,-2.9125965596883674,8.147423263554508,7.237580539533685,1.0821353784939294,0.9045958631978466,3
197,0.99,-10.158926628660717,-2.974380916836239,8.11268980183692,7.421287517392128,1.0823314978142362,0.9022264355379046,3
198,0.995,-10.195861449516268,-3.034618249085696,8.07084536393575,7.609939546926127,1.0825264916070485,0.899893366861963,3
199,1.0,-10.225986710558187,-3.093072332671781,8.021812763969555,7.803247415447523,1.0827203804247076,0.8975999014095366,3
200,1.0050000000000001,-10.249127038321106,-3.1494958864579417,7.965566520890895,8.000865406481394,1.0829132057171,0.8953492274776137,3
201,1.01,-10.265135127914796,-3.2036311089694536,7.902135629810128,8.202387957412414,1.0831050290569704,0.8931444572787447,3
202,1.0150000000000001,-10.27389352933276,-3.255210336242815,7.831605848463492,8.407346441550583,1.0832959312483177,0.8909886071072634,3
203,1.02,-10.275316185609695,-3.303956822819174,7.754121443245634,8.61520612575363,1.083486011332204,0.8888845781371096,3
204,1.025,-10.269349694444939,-3.3495856465773954,7.669886347037434,8.825363361641692,1.0836753855064074,0.8868351381852271,3
205,1.03,-10.255974269012485,-3.3918047363489983,7.579164690188397,9.037143075183218,1.0838641859774039,0.8848429047778545,3
206,1.035,-10.23520437847714,-3.430316019424829,7.482280676217072,9.249796625736648,1.0840525597650934,0.8829103298522479,3
207,1.04,-10.207089054113482,-3.464816684199672,7.379617784799933,9.462500111202187,1.0842406674823977,0.8810396864123753,3
208,1.045,-10.171711852738305,-3.4950005513513176,7.271617296129558,9.674353200470687,1.084428682113277,0.879233057433931,3
209,1.05,-10.12919047525856,-3.5205595451616603,7.15877614243297,9.884378577564688,1.0846167878136719,0.8774923272806967,3
210,1.055,-10.079676044333544,-3.5411852548997516,7.041644104053255,10.091522083496713,1.0848051787602775,0.8758191758514992,3
211,1.06,-10.023352051275465,-3.556570574636009,6.9208203787374485,10.29465364172174,1.0849940580717252,0.8742150756249478,3
212,1.065,-9.960432988191766,-3.5664114084717724,6.796949563400133,10.492569051014673,1.08518363682557,0.8726812917088342,3
213,1.07,-9.891162686840481,-3.57040842696993,6.670717097445453,10.683992725640751,1.0853741331922804,0.8712188849336775,3
214,1.075,-9.815812390577674,-3.5682688595807655,6.542844225574444,10.867581456919464,1.0855657717040945,0.8698287179570833,3
215,1.08,-9.73467858999653,-3.559708307083767,6.414082545774019,11.041929262989562,1.0857587826720012,0.8685114642689138,3
216,1.085,-9.648080656290746,-3.5444525575323453,6.285208214805825,11.205573385221925,1.085953401758112,0.8672676199087542,3
217,1.09,-9.556358308950214,-3.522239388912709,6.157015888957296,11.357001481003712,1.0861498697032108,0.8660975176283295,3
218,1.095,-9.459868956075491,-3.492820341745066,6.030312482065841,11.494660054489996,1.0863484322001669,0.8650013431540021,3
219,1.1,-9.358984946372168,-3.4559624452057633,5.905910825881701,11.61696416069026,1.0865493398930597,0.8639791531290507,3
220,1.105,-9.25409077177965,-3.41144988108784,5.784623319689918,11.72230841561344,1.0867528484691156,0.8630308942425899,3
221,1.11,-9.145580258751568,-3.359085571105627,5.66725565675641,11.809079348325325,1.0869592187956392,0.862156422981101,3
222,1.115,-9.033853784511068,-3.298692674750985,5.554600714565183,11.875669142483394,1.0871687170367452,0.8613555253681028,3
223,1.12,-8.919315552246625,-3.2301159871759353,5.447432693930035,11.920490838841694,1.0873816146643283,0.8606279359845599,3
224,1.125,-8.802370956300237,-3.153223229435209,5.346501588832633,11.94199511107627,1.0875981882537475,0.8599733554833864,3
225,1.1300000000000001,-8.683424065045571,-3.0679062268484216,5.2525280642020915,11.938688791292266,1.0878187189262234,0.8593914657197218,3
226,1.135,-8.562875245478823,-2.974081975132062,5.166198812764322,11.90915541703231,1.0880434912657824,0.8588819415075795,3
227,1.1400000000000001,-8.441118949668198,-2.8716935980866367,5.088162454553914,11.852078209769681,1.0882727914972459,0.8584444578733643,3
228,1.145,-8.318541679242445,-2.7607112046176567,5.019026033771929,11.766266091228529,1.088506904661308,0.8580786914966746,3
229,1.1500000000000001,-8.195520140149393,-2.6411326561024815,4.959352157584475,11.650683620039802,1.0887461104609448,0.8577843147951695,3
230,1.155,-8.07241959607508,-2.512984256648622,4.909656810553177,11.504486117685707,1.0889906773774427,0.8575609808072007,3
231,1.16,-7.949592425262727,-2.3763213772350156,4.8821533668842365,11.32706179265248,1.089240854561344,0.8574082966364518,3
232,1.165,-7.827376882073596,-2.2312290180720744,4.865573633275794,11.118083426618474,1.089496860890415,0.8573257827273671,3
233,1.17,-7.706096061539501,-2.0778222988652857,4.850398450905632,10.87757324290082,1.0897588704509014,0.8573128146211675,3
234,1.175,-7.586057062404984,-1.9162468398963313,4.837135415851805,10.605986054673993,1.0900269935388778,0.8573685430862094,3
235,1.18,-7.467550341768263,-1.7466789521283914,4.8262876916559785,10.30431784594646,1.0903012520983293,0.8574917876230991,3
236,1.185,-7.350849252413503,-1.5693254838791546,4.843829234608963,9.97424975923044,1.0905815483225645,0.8576808973446046,3
237,1.19,-7.236209752281111,-1.3844230644043378,4.874382177143981,9.618341219669786,1.0908676249721683,0.8579335722138156,3
